15	82	181	219	259	304	337	389	417	464	485	556	620	633	692	766	862	882	939	951
152	204	280	373	458	547	567	631	648	692	737	800	836	857	940	1007	1097	1140	1156	1171
245	293	394	523	570	608	701	737	795	882	930	946	973	987	1035	1174	1228	1313	1318	1393
355	477	557	663	674	710	748	891	959	975	1005	1056	1149	1236	1304	1347	1381	1459	1517	1524
521	567	682	751	784	807	898	1040	1093	1163	1226	1234	1259	1376	1381	1408	1481	1519	1596	1654
580	736	770	863	958	1031	1086	1097	1231	1320	1333	1397	1445	1524	1567	1598	1697	1748	1844	1920
797	892	896	1045	1080	1121	1157	1323	1404	1444	1519	1532	1584	1667	1762	1860	1926	2001	2098	2105
937	992	1090	1107	1162	1213	1419	1444	1485	1581	1646	1675	1726	1784	1880	1983	2006	2195	2272	2305
1023	1151	1154	1177	1222	1455	1530	1567	1617	1719	1748	1840	1890	1951	2064	2103	2283	2345	2357	2396
1165	1185	1273	1297	1496	1534	1653	1730	1753	1843	1937	1998	2094	2148	2217	2290	2354	2377	2465	2546
1216	1304	1371	1519	1581	1731	1797	1805	1930	1952	2079	2186	2221	2260	2313	2391	2428	2528	2618	2706
1347	1379	1614	1684	1748	1889	1929	2022	2082	2146	2246	2271	2301	2366	2413	2455	2564	2699	2736	2813
1476	1627	1736	1808	1911	1940	2112	2154	2251	2272	2347	2413	2422	2500	2542	2581	2746	2753	2893	2948
1629	1831	1926	2003	2023	2125	2244	2303	2306	2382	2475	2500	2570	2580	2671	2777	2870	2964	3023	3064
1883	1946	2049	2070	2205	2282	2364	2383	2481	2484	2576	2631	2713	2749	2779	2929	3040	3083	3087	3112
1974	2119	2212	2225	2343	2368	2463	2504	2520	2627	2698	2764	2813	2835	2937	3059	3119	3152	3174	3229
2214	2260	2354	2369	2392	2486	2578	2664	2699	2759	2836	2916	2944	2991	3157	3224	3273	3308	3338	3425
2322	2407	2440	2482	2582	2601	2667	2726	2774	2918	2968	2994	3000	3195	3302	3316	3318	3347	3478	3519
2501	2558	2632	2730	2810	2901	2975	3015	3027	3050	3075	3101	3236	3396	3472	3564	3606	3636	3698	3751
2572	2722	2749	2898	2986	3069	3163	3179	3206	3290	3315	3388	3458	3519	3659	3683	3718	3781	3860	3864
